Title,Title_URL,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Complete Fitness Trainer Certification: Beginner To Advanced
Become A <strong>Fitness</strong> Coach: Create Muscle Growth & Fat Loss Workouts, Build A <strong>Fitness</strong> Training Business & Be A <strong>Health</strong> ExpertRating: 4.6 out of 511132 reviews3 total hours62 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/complete-fitness-trainer-certification-beginner-to-advanced/,,,,,,,,,,,,,
"The Complete Fitness & Health Masterclass - 21 Courses in 1
The Most Comprehensive Masterclass to Improve Your Mind, Body and <strong>Health</strong> - Start Growing Today!Rating: 4.8 out of 5565 reviews23 total hours211 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,699",https://www.udemy.com/course/the-complete-fitness-health-masterclass/,,,,,,,,,,,,,
"Diet And Nutrition Coach Certification: Beginner To Advanced
Become A Nutrition Coach: Create Muscle Growth & Fat Loss Meal Plans, Build A <strong>Fitness</strong> Diet Business & Be A <strong>Health</strong> ExpertRating: 4.5 out of 59114 reviews5 total hours105 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/diet-nutrition-coach-certification-beginner-to-advanced/,,,,,,,,,,,,,
"Health and Fitness Habits
Foundations in Mindset, Nutrition, and PlayRating: 5.0 out of 564 reviews3 total hours26 lecturesAll LevelsCurrent price: ₹499Original price: ₹799",https://www.udemy.com/course/health-and-fitness-the-fundamentals/,,,,,,,,,,,,,
"Fitness Trainer Certification: Gym Workouts & Bodybuilding
Become A <strong>Fitness</strong> Coach: Create Muscle Growth & Strength Workouts, Build A <strong>Fitness</strong> Training Business & Be A <strong>Health</strong> ExpertRating: 4.6 out of 52283 reviews3.5 total hours98 lecturesAll LevelsCurrent price: ₹499Original price: ₹2,899",https://www.udemy.com/course/fitness-trainer-certification-gym-workouts-bodybuilding/,,,,,,,,,,,,,
"Internationally Accredited Certificate in Fitness
Become a <strong>Fitness</strong> Coach: Learn to Create Strength Workouts that helps Build Muscles, Shed Body Fat &amp; Optimize <strong>Health</strong>Rating: 4.5 out of 53980 reviews8.5 total hours149 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/internationally-accredited-diploma-certificate-in-fitness/,,,,,,,,,,,,,
"Internationally Accredited Certificate in Nutrition
Become a Nutrition Coach: Learn the Fundamentals of Nutrition ScienceRating: 4.5 out of 511861 reviews5 total hours98 lecturesAll LevelsCurrent price: ₹499Original price: ₹3,099",https://www.udemy.com/course/internationally-accredited-diploma-certificate-in-nutrition/,,,,,,,,,,,,,
"Health and Nutrition Life Coach Certification (Accredited)
Life Coaching: Create a Workout &amp; Nutrition Plan Based on Your Clients’ <strong>Fitness</strong>, Weight Loss, Dieting &amp; Nutrition GoalsRating: 4.6 out of 55587 reviews10.5 total hours92 lecturesAll LevelsCurrent price: ₹599Original price: ₹3,999",https://www.udemy.com/course/health-and-nutrition-life-coach-certification/,,,,,,,,,,,,,
